Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
37, -2.079,  9.122, 26.857,  -0.036,  0.013, -1.183, -0.113, -2.000,  1.255
38,-27.193, -4.606, -0.972,  -0.013, -0.013, -1.221,  1.334,  0.888,  0.565
39,-18.707,  2.968,-11.193,  -0.065,  0.001, -1.052,  0.231,  0.204, -0.547
40, 39.096, 21.017,  5.047,  -0.092,  0.009, -0.933,  0.085,  0.147, -0.575
41, -6.654, -1.480,  2.819,  -0.100, -0.029, -0.962,  0.054,  0.154, -0.572
42, 18.258, -5.234, 10.811,  -0.066, -0.092, -0.935,  0.054,  0.158, -0.561
43, -6.684, -9.398, -4.740,  -0.092, -0.079, -0.989,  0.062,  0.166, -0.553
44, -9.032, -4.695, -7.297,  -0.114, -0.063, -1.004,  0.067,  0.166, -0.561
45, -5.899, -3.125, -5.503,  -0.143, -0.046, -0.999,  0.062,  0.159, -0.558
46, -4.105, -1.735,  1.488,  -0.125, -0.064, -1.051,  0.073,  0.162, -0.563
47, 20.344,  2.707, -1.645,  -0.127, -0.076, -1.018,  0.074,  0.172, -0.557
48, 28.247,  3.544,  5.428,  -0.119, -0.186, -0.984,  0.080,  0.195, -0.534
49, 16.987, -3.297,  2.168,  -0.124, -0.227, -0.952,  0.087,  0.213, -0.526
50, -1.413, -4.194, -7.940,  -0.158, -0.249, -0.971,  0.085,  0.213, -0.512
51, -8.710, -0.419, -5.615,  -0.156, -0.239, -0.986,  0.089,  0.217, -0.522
52, -8.359, -0.254, -9.660,  -0.167, -0.245, -0.991,  0.093,  0.214, -0.523
53, -6.400,  1.346, -8.935,  -0.171, -0.208, -1.007,  0.091,  0.213, -0.527
54, -6.871,  1.705,-10.924,  -0.161, -0.219, -1.000,  0.092,  0.210, -0.528
55,-10.961,  1.802,-10.490,  -0.169, -0.218, -1.010,  0.090,  0.207, -0.525
56, -5.122,  0.568, -6.752,  -0.179, -0.213, -0.968,  0.087,  0.206, -0.534
57, -4.337,  2.236, -7.402,  -0.154, -0.215, -1.028,  0.082,  0.206, -0.530
58, -6.408,  2.437, -6.729,  -0.147, -0.220, -1.031,  0.088,  0.205, -0.531
59, -5.181,  2.243, -6.475,  -0.163, -0.208, -1.003,  0.086,  0.204, -0.535
60, -3.424,  3.133, -5.271,  -0.184, -0.210, -0.959,  0.086,  0.206, -0.531
61, -5.862,  2.445, -5.817,  -0.157, -0.212, -1.015,  0.084,  0.205, -0.530
62, -6.310,  1.765, -5.832,  -0.163, -0.203, -1.022,  0.082,  0.202, -0.535
63, -5.518,  2.019, -5.854,  -0.173, -0.213, -1.010,  0.086,  0.203, -0.537
64, -6.811,  1.151, -5.757,  -0.178, -0.198, -0.984,  0.081,  0.198, -0.533
65, -4.658,  1.989, -5.054,  -0.183, -0.201, -0.921,  0.086,  0.202, -0.534
66, -1.645,  0.456, -7.410,  -0.164, -0.166, -0.984,  0.081,  0.203, -0.533
67, -5.039,  1.144, -5.144,  -0.148, -0.213, -1.028,  0.084,  0.203, -0.537
68, -2.310,  6.206, -8.808,  -0.156, -0.200, -0.888,  0.084,  0.202, -0.537
69, -2.841,  3.492, -7.081,  -0.195, -0.175, -1.134,  0.079,  0.197, -0.538
70,-19.529, -7.081, -3.828,  -0.208, -0.221, -1.352,  0.083,  0.194, -0.539
71,-28.771,  9.593,  0.755,  -0.201, -0.216, -1.193,  0.084,  0.189, -0.539
72,-32.076, 10.557, -2.243,  -0.153, -0.106, -0.987,  0.087,  0.181, -0.557
73,-24.569, 10.692, -1.854,  -0.116, -0.053, -0.922,  0.081,  0.171, -0.568
74,-16.569,  0.591, -6.221,  -0.102,  0.010, -0.962,  0.086,  0.160, -0.580
75,-16.770, -6.535, -3.380,  -0.139,  0.084, -0.996,  0.092,  0.152, -0.585
76,-14.094, -0.680, -4.284,  -0.138,  0.042, -1.023,  0.100,  0.143, -0.581
77,-14.871, -0.396, -5.555,  -0.153,  0.070, -0.937,  0.103,  0.141, -0.587
78,-14.483,  2.168, -6.991,  -0.155,  0.085, -0.942,  0.106,  0.134, -0.589
79, -8.254,  3.694, -8.045,  -0.168,  0.148, -0.932,  0.103,  0.123, -0.597
80, -3.170,  1.705, -7.380,  -0.165,  0.139, -0.968,  0.102,  0.126, -0.597
81,  5.286,  3.305,-10.251,  -0.171,  0.085, -0.902,  0.101,  0.131, -0.594
82,  8.516,  5.099,-13.944,  -0.156,  0.115, -0.916,  0.100,  0.139, -0.588
83, 19.290, 10.520,-10.019,  -0.133,  0.047, -0.922,  0.088,  0.151, -0.581
84, 16.322,  3.761,-17.772,  -0.115, -0.068, -0.939,  0.086,  0.161, -0.580
85, 32.277, 19.163,-26.595,  -0.108, -0.059, -0.787,  0.072,  0.168, -0.571
86, 36.307,  9.742,-20.524,  -0.151, -0.018, -1.010,  0.060,  0.179, -0.563
87, 16.613,  3.178,  3.880,  -0.075, -0.328, -1.111,  0.058,  0.184, -0.555
88, -0.224, -3.275, -5.114,  -0.131, -0.293, -1.037,  0.056,  0.194, -0.541
89, -8.344, -4.927,  5.974,  -0.147, -0.189, -1.196,  0.064,  0.195, -0.548
90,-11.148, -3.566,  3.626,  -0.114, -0.250, -1.075,  0.071,  0.189, -0.562
91,-17.234, -2.437,-19.716,  -0.162, -0.150, -0.999,  0.082,  0.184, -0.570
92, -9.996,  1.705,-16.606,  -0.145, -0.156, -0.996,  0.081,  0.183, -0.575
93,-22.116, 10.408,-32.838,  -0.124, -0.173, -1.007,  0.068,  0.173, -0.583
94,-24.434, 63.239,-13.182,  -0.099, -0.079, -1.051,  0.058,  0.155, -0.588
95, 29.840,-15.686,-39.283,  -0.009, -0.153, -1.122,  0.027,  0.154, -0.594
96, 12.068,-11.731,-23.776,  -0.035, -0.135, -1.073,  0.031,  0.160, -0.592
97,  5.929, -4.411,-12.883,  -0.073, -0.121, -1.003,  0.024,  0.158, -0.580
98, 31.791, 85.916,115.225,  -0.009, -0.146, -0.975,  0.025,  0.166, -0.579
99,-45.990,-28.300,-46.551,  -0.016, -0.173, -1.000,  0.037,  0.172, -0.575
100,-24.621,  5.907, -1.966,  -0.116, -0.094, -1.142,  0.051,  0.152, -0.586
101,-17.750, 15.223,-28.786,   0.107, -0.161, -1.052,  0.034,  0.147, -0.589
102,-32.120,-20.113, 15.462,   0.111,  0.002, -1.126,  0.013,  0.126, -0.586
103, 13.645,-54.902,  4.591,  -0.078, -0.158, -1.169,  0.031,  0.141, -0.584
104,-33.055, -5.727, -6.131,  -0.238, -0.116, -1.122,  0.050,  0.140, -0.581
105, -5.413, -1.809,-13.271,  -0.138,  0.020, -0.913,  0.047,  0.144, -0.568
106,-27.530,  6.976,-18.595,  -0.199, -0.057, -0.895,  0.048,  0.141, -0.579
107,-17.346,  4.651,  2.378,  -0.171,  0.033, -0.942,  0.049,  0.127, -0.585
108, -5.944, -2.669,  3.821,  -0.122,  0.075, -0.996,  0.054,  0.126, -0.589
109,-13.002,  0.778, -4.860,  -0.129,  0.055, -1.027,  0.048,  0.120, -0.587
110,-10.924,  0.837, -5.809,  -0.156,  0.072, -0.999,  0.054,  0.123, -0.588
111, -5.480, -0.860, -5.854,  -0.164,  0.091, -0.973,  0.059,  0.120, -0.590
112, -7.066,  3.252, -5.899,  -0.157,  0.085, -1.007,  0.053,  0.121, -0.595
113, -4.680,  0.015, -4.277,  -0.178,  0.102, -1.026,  0.059,  0.118, -0.592
114, -4.666,  2.161, -2.370,  -0.179,  0.091, -1.034,  0.063,  0.117, -0.593
115, -6.699,  3.327, -3.312,  -0.133,  0.110, -1.033,  0.057,  0.118, -0.593
116, -7.559,  2.026, -5.331,  -0.171,  0.105, -1.017,  0.059,  0.115, -0.588
117, -4.366,  3.380, -2.961,  -0.181,  0.129, -1.023,  0.061,  0.118, -0.590
118, -6.288,  7.282, -4.127,  -0.165,  0.132, -1.068,  0.059,  0.116, -0.596
119, -2.064,  2.280, -1.794,  -0.152,  0.093, -1.078,  0.058,  0.116, -0.593
120, -1.451, -8.008,  1.062,  -0.138,  0.111, -0.999,  0.065,  0.119, -0.597
121, -5.346, -3.746, -7.798,  -0.123,  0.139, -0.926,  0.066,  0.117, -0.596
122, -0.224,  3.903,-12.045,  -0.180,  0.110, -0.828,  0.071,  0.122, -0.592
123, 14.213,  0.965, -6.460,  -0.203,  0.106, -0.781,  0.068,  0.129, -0.586
124, 29.429, -6.624, -0.120,  -0.241,  0.051, -0.867,  0.071,  0.144, -0.583
125, 23.896, -6.722,  3.903,  -0.287, -0.144, -0.989,  0.079,  0.157, -0.567
126, 20.995, -7.806, 12.763,  -0.349, -0.104, -0.832,  0.090,  0.168, -0.559
127,  1.473, 12.299, -0.718,  -0.219, -0.188, -1.113,  0.087,  0.168, -0.561
128,  1.062,  6.834,  0.807,  -0.200, -0.173, -1.118,  0.091,  0.175, -0.562
129, -8.045, 24.232, -6.901,  -0.192, -0.186, -1.146,  0.094,  0.169, -0.568
