Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
450, -4.965,-18.535, 17.309,  -0.107,  0.222,  0.929, -0.266, -0.334,  0.289
451,-21.959,-25.077, 11.948,  -0.060,  0.083,  0.826, -0.289, -0.321,  0.278
452, -5.690,-12.030, 11.731,   0.174,  0.133,  0.640, -0.305, -0.312,  0.256
453, -4.546,  3.051,  0.142,   0.211,  0.210,  0.720, -0.317, -0.310,  0.257
454,  4.860, -0.142,  3.514,   0.205,  0.212,  0.810, -0.318, -0.308,  0.252
455,-11.253,  7.896, -6.669,   0.176,  0.182,  0.913, -0.316, -0.311,  0.250
456,-18.221, 10.871,-15.447,   0.303,  0.135,  0.871, -0.312, -0.307,  0.255
457,-14.498,  4.666,-11.948,   0.218,  0.138,  0.933, -0.307, -0.312,  0.264
458,-22.131,  6.759,-19.455,   0.131,  0.146,  0.926, -0.303, -0.316,  0.275
459, -7.320,  6.004, -4.441,   0.086,  0.122,  0.844, -0.297, -0.310,  0.277
460,  0.329,  9.682,-11.484,   0.036,  0.053,  0.950, -0.290, -0.313,  0.281
461, 12.688, 17.825,-16.307,   0.031,  0.159,  0.923, -0.280, -0.325,  0.292
462, 10.094, 22.744,-14.041,  -0.053,  0.175,  0.941, -0.265, -0.337,  0.291
463,  7.933, 25.997,-19.739,  -0.153,  0.237,  0.816, -0.251, -0.353,  0.300
464,  5.002, 23.275,-14.849,  -0.302,  0.336,  0.881, -0.233, -0.367,  0.308
465,  0.755, 16.658,-12.569,  -0.411,  0.391,  1.049, -0.214, -0.375,  0.310
466, -0.426,  8.008,-12.494,  -0.428,  0.361,  0.999, -0.205, -0.385,  0.316
467, -6.744,  6.041,-10.580,  -0.476,  0.389,  1.064, -0.203, -0.386,  0.316
468,  1.787,  3.439, -1.630,  -0.471,  0.374,  0.995, -0.206, -0.386,  0.313
469, -9.256, -7.746,  6.946,  -0.462,  0.363,  1.057, -0.207, -0.384,  0.310
470,-15.574,-16.270, 17.929,  -0.350,  0.347,  0.934, -0.221, -0.375,  0.307
471,-30.453,-18.214, 10.041,  -0.298,  0.225,  0.940, -0.240, -0.357,  0.303
472,-27.021,-14.714, 17.728,  -0.172,  0.119,  0.857, -0.261, -0.340,  0.299
473, -7.970,  2.722, 17.428,  -0.110,  0.156,  1.020, -0.279, -0.321,  0.300
474, -9.510, 17.010,-14.901,  -0.108,  0.043,  1.084, -0.269, -0.309,  0.306
475, -8.367, 16.090, -0.890,   0.054,  0.093,  0.834, -0.263, -0.296,  0.311
476,  3.746, 41.773, 10.041,   0.017, -0.021,  1.216, -0.252, -0.289,  0.330
477,-13.825,-32.928,-14.400,   0.316,  0.161,  0.840, -0.249, -0.303,  0.326
478,-14.026, -4.322, -2.161,   0.060, -0.008,  0.741, -0.266, -0.300,  0.311
