ax, ay, az, gx, gy, gz 
 -0.987,  0.109, -0.390, -4.972,  29.922,  32.816
 -1.071,  0.301, -0.448,-31.859,  19.731,  33.279
 -1.027,  0.266, -0.437, -2.251,  -5.989,   0.082
 -1.020,  0.253, -0.365,-10.924,   8.613, -19.881
 -0.993,  0.205, -0.344,-36.352,  18.483, -39.522
 -1.039,  0.199, -0.322,-14.169,  -0.097, -29.631
 -1.023,  0.173, -0.334,  5.638,  12.195,  -8.082
 -1.026,  0.176, -0.333, -3.551,   9.316, -12.210
 -1.040,  0.146, -0.349,  2.751,  12.195,  -9.884
 -1.027,  0.138, -0.357,  0.688,  10.071,  -5.922
 -1.067,  0.132, -0.338, -3.394,  10.737,  -7.223
 -1.045,  0.122, -0.328, -3.133,  10.251,  -5.959
 -1.043,  0.108, -0.351, -2.587,   8.785,  -7.215
 -1.061,  0.115, -0.359, -2.557,   7.193,  -5.092
 -1.054,  0.122, -0.326, -4.150,  10.026,  -4.464
 -1.039,  0.103, -0.331, -1.249,  10.378,  -2.968
 -1.048,  0.096, -0.320, -1.249,  10.998,  -5.353
 -1.041,  0.084, -0.351, -2.452,  10.557,  -2.722
 -1.054,  0.081, -0.331, -2.894,   8.277,  -3.073
 -1.049,  0.065, -0.337, -4.673,   8.172,  -4.396
 -1.060,  0.074, -0.336, -5.204,  10.206,  -3.290
 -1.062,  0.063, -0.370, -1.585,   6.378,  -3.372
 -1.067,  0.057, -0.340,  1.136,  10.079,  -2.183
 -1.064,  0.039, -0.341, -0.127,   9.937,  -3.768
 -1.054,  0.034, -0.324,  0.224,   9.967,  -1.922
 -1.055,  0.028, -0.317, -0.785,   7.365,  -4.247
 -1.074,  0.012, -0.338, -5.002,   9.548,  -7.813
 -1.070,  0.008, -0.368, -4.217,   6.916,  -9.533
 -1.066, -0.028, -0.310, -0.800,  -0.486, -12.456
 -1.060, -0.045, -0.298, -1.540,   8.045,  -8.045
 -1.066, -0.057, -0.307, -0.725,   7.095,  -2.557
 -1.081, -0.060, -0.292, -7.297,   5.914,  -4.957
 -1.075, -0.063, -0.277, -0.419,  10.251,  -2.437
 -1.087, -0.087, -0.268, -4.187,   8.643,  -2.579
 -1.051, -0.078, -0.258,  3.357,   8.367,  -0.404
 -1.073, -0.088, -0.264, -0.284,   9.585,  -1.368
 -1.086, -0.106, -0.267, -7.933,  10.176,  -5.966
 -1.058, -0.116, -0.292,  4.561,  -7.424,   2.295
 -1.042, -0.117, -0.147,  5.406, -16.883,  -0.179
 -1.015, -0.146, -0.170,-31.619,   7.110, -43.762
 -1.070, -0.227, -0.107,-51.298, -35.365, -18.400
 -1.000, -0.134,  0.014, -3.783, -29.735, -18.782
 -1.140, -0.372,  0.074,-10.976,  -7.753, -47.089
 -1.054, -0.382,  0.109, -9.735,   2.916, -51.164
 -0.968, -0.355,  0.137, 68.660, -69.946, -69.213
 -0.615, -0.152,  0.197, 74.447, -38.154, -60.390
 -0.920, -0.010,  0.734,191.115,   3.522,  90.193
 -0.875,  0.118,  1.207,126.410,  -3.036,  61.654
 -0.624,  0.249,  0.967, 51.582, -24.793,  18.236
 -0.568,  0.360,  0.758,  5.084,  45.100,  62.020
 -0.257,  0.446,  0.873,-11.918,  -3.626,  87.172
 -0.210,  0.517,  0.772, -2.228, -30.558,  75.359
 -0.113,  0.431,  0.885,-59.276,   9.817,  49.070
 -0.095,  0.342,  0.932,-55.687,  26.924,  20.008
 -0.137,  0.189,  0.929,-79.329,  26.737,  -1.869
  0.000,  0.057,  0.962, 10.273,  14.430,  37.167
 -0.089,  0.022,  0.943, -2.774,   9.196,  -1.271
 -0.084,  0.019,  0.952, -2.542,   8.972,  -1.578
 -0.104,  0.029,  0.964, -2.834,  10.041,  -1.458
 -0.090,  0.019,  0.954, -2.430,   9.301,  -1.540
 -0.094,  0.016,  0.956, -2.624,   9.294,  -1.615
 -0.089,  0.018,  0.959, -3.080,   8.628,  -1.421
 -0.085,  0.025,  0.968, -2.348,   9.839,  -1.368
 -0.076,  0.018,  0.964, -2.505,   9.069,  -1.436
 -0.084,  0.023,  0.978, -2.714,   8.867,  -1.331
 -0.093,  0.013,  0.974, -2.953,   9.331,  -1.331
 -0.082,  0.022,  0.965, -2.198,  10.161,  -1.316
 -0.088,  0.020,  0.977, -2.393,   8.688,  -1.495
 -0.077,  0.012,  0.961, -2.452,   8.995,  -1.398
 -0.091,  0.006,  0.976, -2.662,   9.712,  -1.301
 -0.083,  0.020,  0.974, -2.363,   9.653,  -1.241
 -0.099,  0.031,  0.973, -2.198,   9.473,  -1.368
 -0.092,  0.012,  0.996, -2.886,   9.383,  -1.301
 -0.083,  0.018,  0.975, -2.452,   9.720,  -1.346
 -0.078,  0.018,  0.951, -2.744,   9.862,  -1.353
 -0.095,  0.034,  0.955, -2.520,   9.099,  -1.593
 -0.083,  0.022,  0.985, -2.505,   8.897,  -1.451
 -0.088,  0.016,  0.991, -2.243,  10.430,  -1.308
 -0.076,  0.018,  0.957, -2.737,   9.690,  -1.413
 -0.092,  0.030,  0.979, -2.512,  10.707,  -1.226
 -0.085,  0.022,  0.964, -3.133,   9.271,  -1.518
 -0.071,  0.025,  0.967, -2.505,   9.697,  -1.458
 -0.073,  0.030,  0.969, -2.774,   9.540,  -1.630
 -0.083,  0.014,  0.950, -2.796,   9.137,  -1.488
 -0.098,  0.031,  0.964, -2.699,   9.727,  -1.174
